question,answer,source
What is Chart? what's the effect?,"Chart is a Helm installation package, which contains the images, dependencies and resource definitions required to run an application. It may also contain service definitions in the Kubernetes cluster, similar to the formula in Homebrew, APT's dpkg or Yum's rpm file. Its role is to provide a standardized deployment template that can be reused in different environments.",
What are the key concepts in Helm?,"Key concepts in Helm include Chart, Release, and Repository.",
What is Helm? What does it do?,"Helm is a package management tool for Kubernetes that facilitates users to quickly discover, share, and use applications built with Kubernetes. Its function is to facilitate application deployment, share application deployment templates, and improve efficiency.",
What is HwameiStor? What is its role in DCE 5.0 container management?,HwameiStor is an independent open source storage component. Its role in DCE 5.0 container management is to support viewing local storage resource overview and other information in container storage.,
What are the new parameters of Job? What are their functions?,"Job has the following new parameters:\n- backoffLimit: Specifies the number of retries before marking this Job as failed. The default value is 6. \n- completions: Specify the number of Pods that the Job should run and expect to complete successfully. Setting to nil means that the success of any Pod marks the success of all Pods, and allows parallelism to be set to any positive value. Setting to 1 means that parallelism is limited to 1, and the success of this Pod marks the success of the task. \n- parallelism: Specifies the upper limit on the number of Pods the Job should expect to run at any given time. When (.spec.completions - .status.successful) < .spec.parallelism, that is, when the remaining work is less than the maximum parallelism, the actual number of Pods running in steady state will be less than this number. \n- activeDeadlineSeconds: The number of seconds the job can remain active before the system attempts to terminate the job. This length of time is relative to startTime; the field value must be a positive integer. If the job is suspended, this timer is stopped and reset when the job is resumed again.",
What new features are added to DCE 5.0 container management?,"DCE 5.0 container management adds the following new functions:\n- New interface to query PVC events\n- Job new parameters such as backofflimit, completions, parallelism, activeDeadlineSeconds, etc.\n- Integration of independent open source storage component HwameiStor\n- New cluster Inspection function\n- Added application backup function\n- Added platform backup function\n- Added global management of custom role management cluster",
How to fill in the private key content into the interface key input box?,Copy the private key content and paste it into the key input box on the interface.,
"For step 3, why do you need to perform the same operation on each node of the cluster to be created?","Because the public key needs to be loaded onto each node of the cluster to be created, the authentication of these nodes can be achieved. Therefore, the operation of loading the public key needs to be performed on each node.",
What are the public and private key files?,The public and private key files are:\n- `id_rsa`: private key\n- `id_rsa.pub`: public key,
What commands are required to use SSH keys for node authentication?,"To use SSH keys for node authentication, you need to execute the following commands:\n- Generate public and private keys: `cd /root/.ssh`, `ssh-keygen -t rsa`\n- Check whether the key is created successfully: `ls`\ n- Load the public key to the node: `ssh-copy-id -i /root/.ssh/id_rsa.pub root@10.0.0.0`\n- View the private key file: `cat /root/.ssh/id_rsa`",
How to use SSH keys for node authentication?,The following are the steps for using SSH keys for node authentication:\n1. Generate public and private keys on any node in the management cluster where the cluster is to be created. \n2. Check whether the private key file `id_rsa` is created successfully. \n3. Load the public key file `id_rsa.pub` to all nodes of the cluster to be created. \n4. View the private key file `id_rsa` created in step 1.,
What is the maximum allowed difference between host times?,The synchronization error between all hosts is less than 10 seconds.,
What are the CPU and memory resource requirements?,"CPU resources need to be greater than 4 Core, and memory resources need to be greater than 8 GB.",
How should SELinux and firewall be configured?,should be closed.,
Which operating system architectures are supported?,"The ARM architecture supports Kylin Linux Advanced Server release V10 (Sword) SP2, UOS Linux and openEuler. The x86 architecture supports CentOS 7.x, Redhat 7.x/8.x, Flatcar Container Linux by Kinvolk, Debian Bullseye/Buster/Jessie/Stretch, Ubuntu 16.04/18.04/20.04/22.04, Fedora 35/36/Fedora CoreOS/ openSUSE Leap 15.x/Tumbleweed/Oracle Linux 7/8/9/Alma Linux 8/9/Rocky Linux 8/9 and Amazon Linux 2.",
What node configuration checks are required when creating a cluster or adding nodes to an existing cluster?,"Operating system, SELinux, firewall, architectural consistency, host time, network connectivity, CPU and memory resources.",
 How to view monitoring information on the node details page?,"On the node details page, click the ""Monitoring"" tab to view the monitoring chart of resource usage on the node.",
 How to view container group information on the node details page?,"On the node details page, click the ""Container Group"" tab to view detailed information about all container groups running on the node.",
 What information can be viewed on the node details page?,"On the node details page, you can view overview information, container group information, label annotation information, event list and status, etc. In addition, you can also view the node's YAML file, monitoring information, labels and annotations, etc.",
 How to enter the node details page?,"Click the name of the target cluster on the cluster list page, click Node Management in the left navigation bar, and click the name of the target node to enter the node details page.",
 How to view information about each node in the cluster?,"Click the name of the target cluster on the cluster list page, and click Node Management in the left navigation bar to view the node status, roles, labels, CPU/memory usage, IP address, and creation time. Click the node name to enter the node details page to view more information, including overview information, container group information, label annotation information, event list, status, etc.",
Can the RoleBinding and ClusterRoleBinding of custom roles take effect?,"Currently, custom roles cannot be managed through the graphical interface, but custom role rules created through kubectl can also take effect.",
What is the relationship between RBAC global permissions and container management permissions?,"Global permissions are only coarse-grained permissions and can manage the creation, editing, and deletion of all clusters. For fine-grained permissions, such as management permissions for a single cluster or management, editing, and deletion permissions for a single namespace, container management permissions based on Kubernetes RBAC need to be implemented. Normally, you only need to authorize it in the container management.",
"In these permission control rules, which resource scale and status are authorized?","scale for the replicationcontrollers/scale, deployments/scale, replicasets/scale, and statefulsets/scale resources, and status for the persistentvolumeclaims/status, pods/status, replicationcontrollers/status, deployments/status, and horizontalpodautoscalers/status resources are authorized.",
Which Kubernetes resources are the above permission control rules for?,"These permission control rules are for Kubernetes resources such as configmaps, endpoints, persistentvolumeclaims, persistentvolumeclaims/status, pods, replicationcontrollers, replicationcontrollers/scale, serviceaccounts, services, and services/status.",
How to view the logs of a Job Pod?,"You can use the command `kubectl logs <PodName>` to view the logs of a Job Pod, where `<PodName>` refers to the name of the Pod to be viewed.",
How to check a started job?,You can use the command `kubectl get job` to view the started jobs.,
How to start a Job?,"You can use the command `kubectl apply -f myjob.yaml` to start a Job. Among them, `myjob.yaml` is the file name that saves the Job configuration.",
What does the .spec.activeDeadlineSeconds parameter do? What does it have to do with the backoffLimit parameter?,"`.spec.activeDeadlineSeconds` represents the Pod running time. Once this time is reached, the Job, that is, all its Pods, will stop. The relationship with `backoffLimit` is that the Job arriving at `activeDeadlineSeconds` will ignore the setting of `backoffLimit`.",
What does the spec.backoffLimit parameter do?,`spec.backoffLimit` indicates the maximum number of retries for a failed Pod. Retries will not continue beyond this number.,
Please explain what .spec.completions and .spec.parallelism do.,"`.spec.completions` represents the number of Pods that need to run successfully before the job ends, and the default is 1; `.spec.parallelism` represents the number of Pods that run in parallel, and the default is 1.",
What is a job type?,"According to the settings of `.spec.completions` and `.spec.Parallelism`, tasks (Jobs) can be divided into three types: non-parallel Jobs, parallel Jobs with a certain completion count, and parallel Jobs.",
How to delete a certain operation record?,"On this page, you can delete an operation record.",
How many Helm operation records can be set to be retained?,You can set a reasonable number of retained records according to the actual situation. The specific steps are: set how many Helm operation records need to be retained in the target cluster's `Recent Operations`->`Helm Operations`->`Set the Number of Reserved Records`.,
Where can I view recent cluster operation records and Helm operation records?,"On this page, you can view recent cluster operation records and Helm operation records.",
How to delete a network policy?,"There are two ways to delete a network policy. Supports deletion via form or YAML file. \n- On the network policy list page, find the policy that needs to be deleted, and select `Delete` in the operation bar on the right.\n- Click on the name of the network policy, enter the details page of the network policy, and select ` in the upper right corner of the page Update` can be updated through the form, select `Edit YAML` to delete through YAML.",
How to update network policy?,"There are two ways to update network policies. Supports updating network policies through forms or YAML files. \n- On the network policy list page, find the policy that needs to be updated. Select `Update` under the operation bar on the right to update through the form. Select `Edit YAML` to update through YAML. \n- Click the name of the network policy, enter the details page of the network policy, select `Update` in the upper right corner of the page to update through the form, select `Edit YAML` to update through YAML.",
How to view network policy?,"1. Click the name of the target cluster in the cluster list, then click `Container Network`->`Network Policy` in the left navigation bar, and click the name of the network policy. \n2. View the basic configuration, associated instance information, inbound traffic policy, and outbound traffic policy of the policy.",
How to create a network policy through a form?,"1. Click the name of the target cluster in the cluster list, and then click `Container Network`->`Network Policy`->`Create Policy` in the left navigation bar. \n2. Fill in the basic information and policy configuration.",
How to create a network policy through YAML?,"1. Click the name of the target cluster in the cluster list, and then click `Container Network`->`Network Policy`->`YAML Create` in the left navigation bar. \n2. Enter or paste the prepared YAML file in the pop-up box, and then click `OK` at the bottom of the pop-up box.",
How to create a network policy?,"Currently, network policies are created through YAML and forms. Creating through YAML has fewer steps and is more efficient, but the threshold requirements are higher and you need to be familiar with the YAML file configuration of network policies. Creating a form is more intuitive and simpler. Just fill in the corresponding values according to the prompts, but the steps are more complicated.",
What is network strategy?,"Network policies can control network traffic at the IP address or port level (OSI Layer 3 or 4). The container management module supports the creation of network policies based on Pods or namespaces, and supports label selectors to set which traffic can enter or leave Pods with specific labels.",
"When installing the `kubernetes-cronhpa-controller` plugin, what parameters should be entered for name, namespace and version?","Parameter name: Enter the plug-in name. Please note that the name can be up to 63 characters long, can only contain lowercase letters, numbers and separators (""-""), and must start and end with lowercase letters or numbers. \n- Namespace: Select the namespace in which the plugin will be installed. \n- Version: The version of the plug-in.",
"If you need to delete the `kubernetes-cronhpa-controller` plug-in, which page should you do it on?","The operation should be performed on the `Helm application` list page, otherwise only the workload copy of the plug-in will be deleted, and the plug-in itself will not be deleted. An error will also be prompted when the plug-in is reinstalled later.",
What are the steps to install the `kubernetes-cronhpa-controller` plug-in?,"The steps are as follows:\n1. Open the workload details tab of the target cluster, click the Auto Scaling tab, and then click the Install button on the right side of CronHPA. \n2. Read the relevant introduction of the plug-in and select the version and click the install button. \n3. Enter the plug-in name, select the namespace and version, and configure parameters such as ready waiting, failed deletion, and detail logs as needed. \n4. Click OK and jump to the Helm application list page, where you can see the application you just installed. Return to the Auto Scaling tab under the workload details page, and you can see that the interface shows that the plug-in has been installed.",
What prerequisites need to be met before installing the `kubernetes-cronhpa-controller` plugin?,"The following prerequisites need to be met:\n- Connect to the Kubernetes cluster or create a Kubernetes cluster in the container management module, and be able to access the UI interface of the cluster. \n- Create a namespace. \n- The current operating user should have `NS Edit` or higher permissions.",
Why do I need to install the `metrics-server` plugin before using CronHPA?,Because CronHPA needs to use the `metrics-server` plugin to obtain resource usage information.,
How to remove `metrics-server` plugin?,"When deleting the `metrics-server` plug-in, the plug-in can be completely deleted only on the Helm application list page. If you only delete `metrics-server` on the workload page, this will only delete the workload copy of the application. The application itself will not be deleted, and an error will be prompted when you reinstall the plug-in later.",
What steps are required to install the `metrics-server` plugin?,"1. On the Auto Scaling page under workload details, click the Install button to enter the `metrics-server` plug-in installation interface. \n2. Read the introduction of the `metrics-server` plug-in, select the version and click the install button. \n3. Configure basic parameters in the installation configuration interface. \n4. Configure advanced parameters based on factors such as whether the cluster network can access the k8s.gcr.io warehouse. \n5. Click the OK button to complete the installation of the `metrics-server` plug-in.",
Which component of Kubernetes is `metrics-server`?,`metrics-server` is Kubernetes' built-in resource usage indicator collection component.,
What are the prerequisites for installing the `metrics-server` plugin?,"1. The container management module has been connected to the Kubernetes cluster or has created a Kubernetes cluster, and can access the UI interface of the cluster. \n2. The creation of a namespace has been completed. \n3. The current operating user should have NS Edit or higher permissions.",
How to complete the installation of Velero plug-in?,"The steps to install the Velero plug-in are as follows:\n1. On the cluster list page, find the target cluster where the `velero` plug-in needs to be installed, click the name of the cluster, click `Helm Application` -> `Helm Template` in the left navigation bar, and click Enter `velero` in the search bar to search. \n2. Read the introduction of `velero` plug-in, select the version and click the `Install` button. This article will take `3.0.0` version as an example for installation. It is recommended that you install `3.0.0` and higher versions. \n3. Configure basic parameters in the installation configuration interface. \n4. Installation parameter configuration. \n5. Click the OK button to complete the Velero plug-in installation.",
What are the optional parameters of the Velero plug-in?,"Optional parameters for the Velero plug-in include:\n- Backupstoragelocation: The location where velero backup data is stored. \n- Name: The name of the BackupStorageLocation object that has been created. \n- Bucket: The name of the bucket used to save backup data. \n- Accessmode: velero's access mode to data, you can choose one of ReadWrite, ReadOnly, and WriteOnly. \n- Region: The geographical area of cloud storage. The `us-east-1` parameter is used by default, and is provided by the system administrator\n- S3forcepathstyle: Enable or disable access using the S3 path style, that is, using the bucket name as part of the URL path. \n- Use secret: Enable or disable using secret to access object storage.",
What parameter configurations are required when installing the Velero plug-in?,"Velero plug-in installation requires the following parameter configuration:\n- Name: Enter the plug-in name. Please note that the name can be up to 63 characters, can only contain lowercase letters, numbers and separators (""-""), and must start with a lowercase letter or number. and the end, such as metrics-server-01. \n- Namespace: Select the namespace for plug-in installation, which must be the `velero` namespace. \n- Version: The version of the plug-in, here we take the `3.0.0` version as an example. \n- Ready waiting: When enabled, it will wait for all associated resources under the application to be in a ready state before marking the application as successfully installed. \n- Failed deletion: When enabled, synchronization will be enabled by default and ready to wait. If the installation fails, installation-related resources will be deleted. \n- Detailed log: Enable detailed output of the installation process log. \n- S3url: Object storage access address (currently only Minio has been verified for compatibility). \n- Use existing secret: The secret name used to record the username and password of the object storage. \n- Features: enabled kubernetes feature plug-in module.",
What are the prerequisites before installing the Velero plug-in?,"Before installing the `velero` plug-in, you need to meet the following prerequisites:\n- Container management module [Connected to Kubernetes cluster] (../clusters/integrate-cluster.md) or [Kubernetes cluster created] (../clusters /create-cluster.md), and can access the UI interface of the cluster. \n- Completed a `velero` [namespace creation](../namespaces/createns.md). \n- The current operating user should have [`NS Edit`](../permissions/permission-brief.md#ns-edit) or higher permissions. For details, please refer to [Namespace Authorization](../namespaces/createns .md).",
What are Velero plugins?,"Velero is an open source tool for backing up and restoring Kubernetes cluster resources. It can back up resources in a Kubernetes cluster to a cloud storage service, local storage, or other locations, and restore those resources to the same or a different cluster when needed.",
What should you pay attention to if you need to delete the `vpa` plug-in?,"If you want to delete the `vpa` plug-in, you should go to the `Helm application` list page to delete it completely. If you delete a plug-in under the Auto Scaling tab of the workload, this will only delete the workload copy of the plug-in. The plug-in itself will not be deleted, and an error will be prompted when you reinstall the plug-in later.",
How to install `vpa` plugin?,"1. On the `Cluster List` page, find the target cluster where you need to install this plug-in, click the name of the cluster, then click `Workload` -> `Stateless Workload` on the left, and click the name of the target workload. \n2. On the workload details page, click the `Auto Scaling` tab, and click `Install` on the right side of `VPA`. \n3. Read the relevant introduction of the plug-in, select the version and click the `Install` button. It is recommended to install `1.5.0` or higher. \n4. View the following description of configuration parameters. \n- Name: Enter the plug-in name. Please note that the name can be up to 63 characters, can only contain lowercase letters, numbers and separators (""-""), and must start and end with lowercase letters or numbers, such as kubernetes-cronhpa- controller. \n- Namespace: Select the namespace in which the plug-in will be installed. Here we take `default` as an example. \n- Version: The version of the plug-in, here we take the `1.5.0` version as an example. \n- Ready waiting: When enabled, it will wait for all associated resources under the application to be in a ready state before marking the application as successfully installed. \n- Failed deletion: If the plug-in installation fails, delete the associated resources that have been installed. Once enabled, `Ready Waiting` will be enabled synchronously by default. \n- Detailed log: When enabled, detailed logs of the installation process will be recorded. \n5. Click `OK` in the lower right corner of the page, and the system will automatically jump to the `Helm application` list page. Wait a few minutes and refresh the page to see the application you just installed.",
What are the prerequisites for installing the `vpa` plugin?,"You need to [Connect to Kubernetes cluster](../clusters/integrate-cluster.md) or [Create Kubernetes cluster](../clusters) in the [Container Management](../../intro/what.md) module /create-cluster.md), and be able to access the UI interface of the cluster, create a [namespace](../namespaces/createns.md), the current operating user should have [`NS Edit`](../permissions/ permission-brief.md#ns-edit) or higher.",
What is a vpa plugin?,`vpa` is a key component to achieve vertical expansion and contraction of containers.,
What is the vertical scaling strategy for containers?,"The container vertical expansion and contraction strategy (Vertical Pod Autoscaler, VPA) can make cluster resource allocation more reasonable and avoid cluster resource waste.",
What should I do if the cluster status is always `Connecting`?,"If the cluster status is always ""Connecting"", you need to confirm whether the access script is successfully executed on the corresponding cluster.",
What characteristics should a cluster name have? Can it be modified?,"The cluster name should be unique and cannot be changed after setting. It can be up to 63 characters long, can only contain lowercase letters, numbers and delimiters (""-""), and must start and end with lowercase letters or numbers.",
What are the steps to connect to a cluster?,"The steps are as follows:\n1. Enter the `Cluster List` page and click the `Connect to Cluster` button in the upper right corner. \n2. Fill in the basic information, including name, alias and release version. \n3. Fill in the KubeConfig of the target cluster and verify it before successful access. \n4. Confirm that all parameters are filled in correctly, and click the `OK` button in the lower right corner of the page.",
What are the prerequisites for accessing the cluster?,"Prerequisites include: preparing a cluster to be connected, ensuring that the network between the container management cluster and the cluster to be connected is smooth, and the Kubernetes version of the cluster is 1.22+. The current operating user should have `NS Edit` or higher permissions.",
Which container clusters does the container management module support?,"The container management module supports access to a variety of mainstream container clusters, such as DaoCloud KubeSpray, DaoCloud ClusterAPI, DaoCloud Enterprise 4.0, Redhat Openshift, SUSE Rancher, VMware Tanzu, Amazon EKS, Aliyun ACK, Huawei CCE, Tencent TKE, and standard Kubernetes clusters.",
What types of services are supported in the container management feature?,Currently supported service types include: intra-cluster access (ClusterIP) and node access (NodePort).,
What does the cloud native application load include in the container management function?,"Application full life cycle management, one-stop application load creation, cross-cluster application load management, application load expansion and contraction, container life cycle settings, container readiness check and survival check settings, container environment variable settings and automatic scheduling of containers .",
What does the cluster full life cycle management in the container management function include?,"Unified cluster management, rapid cluster creation, one-click cluster upgrade, cluster high availability, certificate hot update and node management.",
What are the main features of container management capabilities?,"Cluster full life cycle management, cloud native application load, services and routing, namespace management, container storage, policy management, extension plug-ins, permission management and cluster operation and maintenance.",
How to protect slow start container before starting?,"You can use pre-start checks to protect slow-start containers by setting appropriate `failureThreshold * periodSeconds` parameters to deal with scenarios where startup takes a long time, and use a separate probe task to perform pre-start checks. For example, you can set `failureThreshold: 30` and `periodSeconds: 10` to wait up to 5 minutes for the startup process to complete.",
How to use command check to check the health status of containers?,"You can execute a command in the container and configure the command check through the `exec` field. For example, `command: [cat, /tmp/healthy]` means to execute the `cat /tmp/healthy` command in the container at regular intervals. Health status check.",
How to set the execution frequency of liveness detection in YAML file?,"You can use the `periodSeconds` field to set the execution frequency of the survival probe, for example `periodSeconds: 5` means to execute the survival probe every 5 seconds.",
What is survival detection?,"Liveness detection is a mechanism for checking whether a container is alive. When the liveness detection fails, the container will be restarted.",
How to protect slow-start containers? What type of detection can be used?,"You can use startup probes to perform liveness checks on slow-start containers to prevent them from being killed before they start running. Parameters such as delay time, failure threshold, and cycle time should be set appropriately.",
How to use TCP port for container health check? What should I pay attention to?,"For containers that provide TCP communication services, you need to specify the port that the container listens on and perform detection according to the set rules. Pay attention to setting parameters such as delay time and timeout time.",
"In the HTTP GET parameters, what do the delay time and timeout time mean?","The delay time means that after the container is started, it waits for a certain period of time before performing a health check. The unit is seconds. The timeout period indicates the maximum waiting time for health check execution, in seconds.",
What are the configuration parameters for liveness and readiness checks?,"The configuration parameters of survival check and readiness check are similar, mainly including parameters such as path, port, access protocol, delay time, timeout time, success threshold and maximum number of failures.",
What are container health checks? What types are there?,"Container health check is an operation to check the health status of the container based on user needs. Depending on specific needs, Kubernetes provides three types of checks: Liveness, Readiness, and Startup.",
How to delete Helm app?,"Follow the steps below to delete the Helm application:\n1. Enter the cluster details page and click `Helm Application` in the left navigation bar. \n2. Select the application you want to delete and click `Delete` in the operation menu on the right. \n3. Enter the application name in the pop-up confirmation box, and then click `Delete` to complete the deletion.",
How to view Helm operation records?,"You can select `Cluster Operations` -> `Recent Operations` -> `Helm Operations` in the left navigation bar to view the detailed operation records and logs of each Helm installation, update, and deletion.",
How do I update an installed Helm application?,"Follow the steps below to update the installed Helm application:\n1. Enter the cluster details page and click `Helm Application` in the left navigation bar. \n2. Select the application that needs to be updated and click `Update` in the operation menu on the right. \n3. Modify the corresponding parameters, compare the file changes before and after modification, and then click `OK` to complete the update.",
What operations can be performed through the container management interface?,"Helm application creation, full life cycle management, update and deletion operations can be performed through the container management interface.",
How do I install the Helm app?,"Follow the steps below to install the Helm application:\n1. Enter the cluster details page and click `Helm Application` -> `Helm Template` in the left navigation bar. \n2. Select the Chart you want to install, select the version and click the `Install` button. \n3. Configure the name, namespace and version information, customize the parameters by modifying YAML, and then click `OK`.",
What management functions does the container management module support for Helm?,"The container management module supports interface management of Helm, including using Helm templates to create Helm instances, customizing Helm instance parameters, and performing full life cycle management of Helm instances.",
What are the prerequisites for adding a third-party Helm warehouse?,"You need to connect to the Kubernetes cluster and access the UI interface of the cluster. You also need to create a namespace and user, and grant the user NS Admin or higher permissions. If you use a private warehouse, the user needs to have read and write permissions on the private warehouse. .",
How to delete an unnecessary Helm repository?,"Click Helm application -> Helm warehouse in the left navigation bar of the cluster details page, enter the Helm warehouse list page, find the Helm warehouse that needs to be deleted, click the ⋮ button on the right side of the list, click Delete in the pop-up menu, and confirm the deletion Enter the name on the interface and click Delete to delete the Helm warehouse.",
How to update the address information of Helm warehouse?,"Click Helm Application -> Helm Warehouse in the left navigation bar of the cluster details page, enter the Helm warehouse list page, find the Helm warehouse that needs to be updated, click the ⋮ button on the right side of the list, click Update in the pop-up menu, and click Update on the edit page After making the update, click OK to update the address information of the Helm warehouse.",
How to add a third-party Helm repository?,"You can click Helm Application -> Helm Warehouse in the left navigation bar of the cluster details page to enter the Helm Warehouse page, then click the Create Warehouse button, fill in the relevant parameters (such as name, address, authentication method, etc.) on the creation page, and finally click Confirm to add the third-party Helm warehouse.",
What is a Helm repository? What preset warehouses are there?,"The Helm warehouse is a repository used to store and publish charts. The system has four preset warehouses built in by default: partner, system, addon, and community.",
"If there is a problem with the etcd database, how to manually restore the cluster?",You can manually restore the cluster according to the following steps:\n1. Back up etcd data\n2. Stop kube-apiserver service\n3. Stop kubelet service\n4. Reset etcd database\n5. Restore etcd database\n6. Start kubelet service and wait Synchronization completed\n7. Restart the kube-apiserver service,
How to check whether etcd member node is normal?,You can check the node status using the following etcdctl command:\n```shell\netcdctl endpoint status --endpoints=<etcd node list> --cacert=<etcd CA certificate path> --cert=<client certificate path> -- key=<client key path>\n```,
What operations need to be performed when restoring data on other nodes?,Start the etcd Pod and wait for data synchronization to complete to check whether the cluster status is normal.,
What parameters need to be set when executing the etcdbrctl command?,"You need to set the --data-dir parameter (etcd data directory), --store-container parameter (S3 storage location), --storage-provider parameter (data storage type), --initial-cluster parameter (etcd initialization configuration), --initial-advertise-peer-urls parameter (etcd member access address between clusters).",
What is the command line tool used to perform restore operations?,The command line tool used to perform restore operations is etcdbrctl.,
Where are the backup files of etcd data stored?,"The backup files of etcd data are stored in S3 storage, corresponding to the bucket in MinIO.",
What environment variables need to be set when restoring etcd data?,"Three environment variables, ECS_ENDPOINT, ECS_ACCESS_KEY_ID, and ECS_SECRET_ACCESS_KEY, need to be set.",
Which command line tool should be executed during restore?,Execute the etcdbrctl command line tool to perform the restore operation.,
Which open source tool needs to be installed on any k8s node before restoration?,The etcdbrctl open source tool needs to be installed on any k8s node.,
Under what circumstances can etcd backup and restore only be used?,DCE 5.0 ETCD backup and restore is limited to backup and restore of the same cluster (the number of nodes and IP addresses have not changed).,
How to shut down a cluster?,"Move the static Pod manifest file outside the `/etc/kubernetes/manifest` directory, and the cluster will remove the corresponding Pod to shut down the service.",
Why check whether the backup data and backup data exist in S3 storage?,"Before restoring, you need to check whether the backup data and the backup data in S3 storage exist to ensure the availability and correctness of the backup data.",
How to view backup policy details?,"Click to enter the backup policy details, including basic information and backup records. You can view the backup point. After selecting a cluster, you can view all backup information under the cluster. Each time a backup is performed, a backup point is generated, and the application can be quickly restored through the successful backup point.",
How to create etcd backup?,"You can follow the following steps to create:\n1. On the Backup and Recovery-ETCD Backup page, you can see all current backup policies. Click Create Backup Policy on the right to create an ETCD backup policy for the target cluster. \n2. Fill in the basic information and click Next after completing the filling. The connectivity of ETCD will be automatically verified. If the verification passes, proceed to the next step. \n3. Select the backup method, which is divided into manual backup and scheduled backup. \n4. Storage location. \n5. After successful creation, a piece of data will be generated in the backup policy list. Operations include log, view YAML, update policy, stop, and execute immediately. When the backup method is manual, you can click Execute Now to perform the backup. When the backup method is scheduled backup, backup will be performed according to the configured time.",
What are the prerequisites for ETCD backup?,"You need to have connected to the Kubernetes cluster or created a Kubernetes cluster, and be able to access the UI interface of the cluster; you have completed the creation of a namespace and user, and granted the user NS Admin or higher permissions; prepare a MinIO instance.",
What is ETCD backup?,"ETCD backup is a backup with cluster data as the core. In scenarios such as hardware device damage, development and test configuration errors, etc., the backup cluster data can be restored.",
How to set up an exclusive node for a namespace?,"Exclusive nodes can be set for the namespace through the UI management interface of DCE 5.0. Specific steps: Click the cluster name on the cluster list page, then click `Namespace` on the left navigation bar -> Click on the namespace name -> Click on the `Exclusive Node` tab -> Select to make the namespace exclusive on the left side of the page Which nodes are shared? You can clear or delete a selected node on the right, and finally click OK at the bottom.",
How to enable the `PodNodeSelector` and `PodTolerationRestriction` admission controllers on the cluster API server?,"First, you need to check whether the `PodNodeSelector` and `PodTolerationRestriction` admission controllers are enabled on the API server of the current cluster. You can execute the command to check. If it is not enabled, you need to modify the `kube-apiserver.yaml` configuration file on any Master node in the current cluster and add the `,PodNodeSelector,PodTolerationRestriction` parameters.",
What is a namespace exclusive node?,"Namespace exclusive nodes refer to the method of setting taint and taint tolerance in the kubernetes cluster to achieve the exclusive use of one or more node CPU, memory and other resources by a specific namespace, allowing important applications to exclusively use part of the computing resources, thereby sharing with other Applications are physically isolated.",
How to create a namespace via YAML?,"Click `Namespace` in the left navigation bar of the cluster details page, then click the `YAML Create` button on the right side of the page, enter or paste the prepared YAML content, or directly import the existing YAML file from the local, and finally in Click OK in the lower right corner of the pop-up box.",
How to create namespace via form?,"Click `Namespace` on the left navigation bar of the cluster details page, then click the `Create` button on the right side of the page, fill in the namespace name, configure workspace and label (optional settings) in the pop-up window, and then click `OK `.",
What can be bound to a namespace?,"A namespace can be bound to a workspace, and after binding, the resources of the namespace will be shared with the bound workspace.",
Why does a namespace need to be created?,It is recommended to create other namespaces instead of using the default `default` namespace directly for easier management.,
What is a namespace?,"Namespace is an abstraction used in Kubernetes for resource isolation. A cluster can contain multiple namespaces with non-overlapping names, and the resources in each namespace are isolated from each other.",
How to disconnect or uninstall?,"Find the cluster that needs to be uninstalled/uninstalled on the `Cluster List` page, click `...` on the right and click `Unconnected` or `Uninstall Cluster` in the drop-down list, enter the cluster name to confirm, and then click `delete`.",
What happens after the cluster is uninstalled?,"After the cluster is uninstalled, it will be destroyed and the data of all nodes will be reset. It is recommended to back up the data that needs to be saved in advance.",
What do I need to do before uninstalling the cluster?,"Before uninstalling the cluster, you should turn off `Cluster Deletion Protection` in `Cluster Settings`->`Advanced Configuration`, otherwise the `Uninstall Cluster` option will not be displayed.",
What permissions can perform uninstallation or detachment operations?,The current operating user must have Admin or Kpanda Owner permissions to perform uninstallation or disconnection operations.,
What is the difference between detaching and uninstalling a cluster?,Disconnecting only removes the cluster from the container management module. It does not destroy the cluster or destroy the data. Uninstalling a cluster will destroy the cluster and reset the data of all nodes in the cluster. All data will be destroyed and backups are recommended. A cluster must be re-created when needed later.,
How to scale down nodes in a cluster?,"1. Click the name of the target cluster on the `Cluster List` page. \n2. Click `Node Management` in the left navigation bar, find the node that needs to be uninstalled, click `ⵗ` and select `Remove Node`. \n3. Enter the node name and confirm deletion.",
What precautions should be taken when scaling down nodes?,"When scaling down nodes, they need to be uninstalled one by one and cannot be uninstalled in batches. And the number of cluster controller nodes needs to be an odd number. In addition, the first controller node cannot be taken offline.",
What conditions need to be met for a cluster controller node to be uninstalled?,"If you need to uninstall cluster controller nodes, you need to ensure that the final number of controller nodes is an odd number. And the first controller node cannot be taken offline. If this operation must be performed, please contact the after-sales engineer.",
What are the prerequisites for cluster node scaling?,"The prerequisites for cluster node scaling include: the current operating user has `Cluster Admin` role authorization, clusters created through the container management module only support this operation, and before uninstalling a node, it is necessary to suspend the scheduling of the node and expel the applications on the node to other locations. node.",
What is node scaling?,"Node shrinking refers to uninstalling redundant nodes in the cluster to save resource costs, but it will cause the application on the node to be unable to continue running.",
How do I view backup plan details?,"After the backup is completed, you can click the name of the backup plan to view the details of the backup plan.",
